epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1089.95,0.94627,0.89092,1.32056,0.68245,0.5435,0.58179,0.28832,1.72461,1.79748,2.11382,0.000615781,0.000615781,0.000615781
43,1117.29,0.93386,0.86565,1.30429,0.58381,0.5152,0.53465,0.25257,1.67702,1.75058,2.10428,0.000600313,0.000600313,0.000600313
44,1142.24,0.92482,0.85131,1.30513,0.71091,0.47807,0.57129,0.28918,1.73269,1.78665,2.13901,0.000584844,0.000584844,0.000584844
45,1170.41,0.88864,0.83276,1.28446,0.60962,0.5371,0.54887,0.28559,1.62554,1.69702,2.0826,0.000569375,0.000569375,0.000569375
46,1196.48,0.89888,0.82287,1.29349,0.4758,0.62102,0.56638,0.32117,1.59975,1.66231,2.00986,0.000553906,0.000553906,0.000553906
47,1221.71,0.89207,0.80722,1.28632,0.66093,0.45982,0.49836,0.27019,1.66397,1.79833,2.03262,0.000538438,0.000538438,0.000538438
48,1247.8,0.89033,0.78417,1.27159,0.62085,0.53896,0.53673,0.28611,1.704,1.76268,2.06914,0.000522969,0.000522969,0.000522969
49,1272.51,0.86491,0.78791,1.26881,0.4514,0.5911,0.45504,0.20141,1.93838,2.00272,2.38244,0.0005075,0.0005075,0.0005075
50,1300.03,0.88765,0.8011,1.27925,0.55659,0.58562,0.57626,0.31874,1.69172,1.65152,2.09115,0.000492031,0.000492031,0.000492031
51,1325.72,0.86249,0.78336,1.25478,0.44684,0.58934,0.5032,0.29548,1.63326,1.66749,2.09048,0.000476562,0.000476562,0.000476562
52,1352.24,0.85704,0.76237,1.26803,0.36349,0.53179,0.41238,0.2146,1.7798,1.90161,2.21105,0.000461094,0.000461094,0.000461094
53,1379.65,0.8376,0.73643,1.24019,0.4779,0.60691,0.55319,0.29853,1.67979,1.60253,2.12776,0.000445625,0.000445625,0.000445625
54,1406.17,0.8451,0.73625,1.24871,0.40582,0.55744,0.48724,0.27363,1.58396,1.78093,2.01823,0.000430156,0.000430156,0.000430156
55,1435.36,0.83046,0.7274,1.23942,0.54687,0.5307,0.55991,0.29943,1.82622,1.83595,2.20858,0.000414688,0.000414688,0.000414688
56,1460.27,0.82732,0.72227,1.23309,0.49589,0.53919,0.50501,0.25431,1.75292,1.83045,2.22104,0.000399219,0.000399219,0.000399219
57,1487.84,0.80293,0.69868,1.21699,0.58437,0.38749,0.43837,0.22292,1.74404,2.09412,2.1695,0.00038375,0.00038375,0.00038375
58,1513.39,0.807,0.69412,1.2109,0.5443,0.5381,0.52516,0.24536,1.94728,1.80334,2.37795,0.000368281,0.000368281,0.000368281
59,1538.66,0.78368,0.69432,1.20283,0.55024,0.45829,0.45634,0.21659,1.98788,1.99536,2.40532,0.000352812,0.000352812,0.000352812
60,1566.39,0.78277,0.66605,1.20478,0.44294,0.50325,0.49302,0.26526,1.73648,1.96888,2.15821,0.000337344,0.000337344,0.000337344
61,1591.15,0.788,0.67372,1.20205,0.40966,0.47923,0.46549,0.24543,1.90674,1.97461,2.30197,0.000321875,0.000321875,0.000321875
62,1619.94,0.76383,0.65253,1.19572,0.59451,0.46755,0.53668,0.28381,1.74653,1.88107,2.18737,0.000306406,0.000306406,0.000306406
63,1645.01,0.76065,0.63494,1.18222,0.61239,0.54541,0.5509,0.29962,1.67266,1.69972,2.10363,0.000290937,0.000290937,0.000290937
64,1671.06,0.75906,0.64842,1.19196,0.55297,0.6113,0.57404,0.30191,1.76281,1.69813,2.19244,0.000275469,0.000275469,0.000275469
65,1699.33,0.78004,0.66198,1.2113,0.5133,0.46948,0.50219,0.27352,1.68636,1.81406,2.12501,0.00026,0.00026,0.00026
66,1724.15,0.76324,0.63913,1.2004,0.6847,0.52331,0.56353,0.29928,1.71549,1.63868,2.15187,0.000244531,0.000244531,0.000244531
67,1752.03,0.74792,0.60982,1.17987,0.7722,0.48826,0.58527,0.30824,1.6805,1.71795,2.13516,0.000229063,0.000229063,0.000229063
68,1777.23,0.70886,0.60221,1.16432,0.73589,0.49846,0.59668,0.33288,1.64474,1.591,2.0782,0.000213594,0.000213594,0.000213594
69,1805.16,0.73419,0.62056,1.17953,0.62491,0.5355,0.58418,0.32162,1.70484,1.65705,2.11947,0.000198125,0.000198125,0.000198125
70,1830.59,0.71953,0.58667,1.16688,0.66023,0.5256,0.61036,0.34205,1.67337,1.49719,2.1099,0.000182656,0.000182656,0.000182656
71,1865.28,0.62102,0.457,1.15274,0.60497,0.55643,0.60373,0.33722,1.7011,1.58723,2.17631,0.000167188,0.000167188,0.000167188
72,1889.2,0.58069,0.38341,1.12305,0.60309,0.55999,0.63949,0.34604,1.6362,1.51033,2.08053,0.000151719,0.000151719,0.000151719
73,1915.4,0.53631,0.35741,1.08616,0.66409,0.60497,0.64348,0.36491,1.63574,1.48979,2.11948,0.00013625,0.00013625,0.00013625
74,1941.5,0.55109,0.35995,1.10468,0.6725,0.59938,0.65422,0.35552,1.61218,1.46305,2.06768,0.000120781,0.000120781,0.000120781
75,1965.89,0.52596,0.34049,1.09238,0.64564,0.58167,0.64198,0.33581,1.73299,1.64845,2.18859,0.000105312,0.000105312,0.000105312
76,1993.06,0.51526,0.3382,1.06184,0.6065,0.58669,0.6194,0.33127,1.67551,1.59204,2.12376,8.98437e-05,8.98437e-05,8.98437e-05
77,2018.34,0.51999,0.33784,1.07463,0.5758,0.6396,0.64127,0.33142,1.63669,1.59905,2.0371,7.4375e-05,7.4375e-05,7.4375e-05
78,2044.59,0.50269,0.32835,1.06511,0.5006,0.62876,0.62043,0.32161,1.64731,1.63643,2.0511,5.89062e-05,5.89062e-05,5.89062e-05
79,2072.8,0.49485,0.322,1.05645,0.5268,0.62191,0.61788,0.32408,1.65524,1.67173,2.07688,4.34375e-05,4.34375e-05,4.34375e-05
80,2098.38,0.48183,0.32319,1.0499,0.49997,0.61797,0.6111,0.32563,1.6176,1.66135,2.05577,2.79687e-05,2.79687e-05,2.79687e-05
